AuthorID,Author,Date,Content,Attachments,Reactions
"406129972982317068","Sidekick II#9293","01-Feb-21 12:23 AM",":starD::starD::starD: :s100::per: :b25: tom :t6: :sk_arrow_left: :t7: :b25:","",""
"406129972982317068","Sidekick II#9293","01-Feb-21 12:49 AM",":sk_star::sk_star_new::sk_star_new: :s100::per: :b9: Arnold :t10: :sk_arrow_right: :t10: :b5:
:sk_star_new::sk_star_new::sk_star_new: :s100::per: :b14: Alpha Wolf :t10: :sk_arrow_right: :t8: :b14:","",""
"406129972982317068","Sidekick II#9293","01-Feb-21 01:13 AM",":starD::starD::starD: :s100::per: :b14: Alpha Wolf :t10: :sk_arrow_left: :t9: :b10:
:sk_star_new::sk_star_new::sk_star_new: :s100::per: :b14: Alpha Wolf :t10: :sk_arrow_right: :t9: :b12:
:sk_star_new::sk_star_empty::sk_star_empty: :54::per: :b5: Chris14 :t10: :sk_arrow_right: :t10: :b4:
:sk_star_new::sk_star_empty::sk_star_empty: :66::per: :b7: Arif BURHAN :t10: :sk_arrow_right: :t11: :b7:
:sk_star_new::sk_star_new::sk_star_new: :s100::per: :b7: Arif BURHAN :t10: :sk_arrow_right: :t8: :b13:","",""
"406129972982317068","Sidekick II#9293","01-Feb-21 01:59 AM",":starD::starD::starD: :s100::per: :b17: Bojovic1211 :t8: :sk_arrow_left: :t8: :b16:","",""
"406129972982317068","Sidekick II#9293","01-Feb-21 02:23 AM",":sk_star_new::sk_star_new::sk_star_empty: :88::per: :b2: Adam :t11: :sk_arrow_right: :t11: :b3:","",""
"802848808627077131","ArnoldCoC#1155","01-Feb-21 02:30 AM","Lester @BlackStallion97 is rushing his mini account to 12","",""
"406129972982317068","Sidekick II#9293","01-Feb-21 02:46 AM",":sk_star::sk_star_new::sk_star_empty: :81::per: :b4: rhino0117 :t10: :sk_arrow_right: :t11: :b7:
:sk_star_new::sk_star_new::sk_star_new: :s100::per: :b5: Chris14 :t10: :sk_arrow_right: :t9: :b9:","",""
"802848808627077131","ArnoldCoC#1155","01-Feb-21 02:53 AM","This war looks solid!","",""
"406129972982317068","Sidekick II#9293","01-Feb-21 03:33 AM",":sk_star_new::sk_star_new::sk_star_new: :s100::per: :b12: chief steve :t9: :sk_arrow_right: :t8: :b16:
:sk_star_new::sk_star_empty::sk_star_empty: :65::per: :b20: chief stephen :t8: :sk_arrow_right: :t8: :b17:","",""
"406129972982317068","Sidekick II#9293","01-Feb-21 03:56 AM",":starD::starD::starD: :s100::per: :b18: BigBlueAircraft :t8: :sk_arrow_left: :t8: :b16:","",""
"406129972982317068","Sidekick II#9293","01-Feb-21 04:19 AM",":sk_star::sk_star_new::sk_star_new: :s100::per: :b12: chief steve :t9: :sk_arrow_right: :t8: :b17:
:sk_star_new::sk_star_new::sk_star_new: :s100::per: :b20: chief stephen :t8: :sk_arrow_right: :t9: :b18:","",""
"406129972982317068","Sidekick II#9293","01-Feb-21 04:43 AM",":starDO::starD::starD: :s100::per: :b23: Artizas :t7: :sk_arrow_left: :t8: :b20:","",""
"406129972982317068","Sidekick II#9293","01-Feb-21 05:29 AM",":sk_star_new::sk_star_new::sk_star_new: :s100::per: :b1: cafrsggh :t13: :sk_arrow_right: :t13: :b1:","",""
"406129972982317068","Sidekick II#9293","01-Feb-21 05:52 AM",":starD::starD::starD: :s100::per: :b11: Guru :t9: :sk_arrow_left: :t9: :b15:
:starD::starD::sk_star_empty: :82::per: :b10: Z.Z :t9: :sk_arrow_left: :t9: :b10:
:starD::starD::starD: :s100::per: :b15: La Chupacabra :t8: :sk_arrow_left: :t8: :b14:
:starD::starD::starD: :s100::per: :b4: rhino0117 :t10: :sk_arrow_left: :t11: :b7:
:starDO::starDO::starD: :s100::per: :b10: Z.Z :t9: :sk_arrow_left: :t10: :b5:
:starD::starD::starD: :s100::per: :b16: FUT21News :t8: :sk_arrow_left: :t8: :b14:","",""
"406129972982317068","Sidekick II#9293","01-Feb-21 05:52 AM",":starD::starD::starD: :s100::per: :b19: Aryan n. Mhatr :t8: :sk_arrow_left: :t9: :b15:","",""
"384367680955744266","BlackStallion97#1505","01-Feb-21 07:29 AM","/war","",""
"406129972982317068","Sidekick II#9293","01-Feb-21 08:54 AM",":sk_star::sk_star_new::sk_star_empty: :99::per: :b3: BlackStallion97 :t11: :sk_arrow_right: :t10: :b4:","",""
"406129972982317068","Sidekick II#9293","01-Feb-21 09:59 AM",":starD::starD::starD: :s100::per: :b7: Arif BURHAN :t10: :sk_arrow_left: :t10: :b5:
:starD::sk_star_empty::sk_star_empty: :55::per: :b5: Chris14 :t10: :sk_arrow_left: :t11: :b2:","",""
"384367680955744266","BlackStallion97#1505","01-Feb-21 10:24 AM","/war","",""
"406129972982317068","Sidekick II#9293","01-Feb-21 10:24 AM",":starD::starD::starD: :s100::per: :b20: chief stephen :t8: :sk_arrow_left: :t9: :b9:
:sk_star::sk_star_new::sk_star_new: :s100::per: :b3: BlackStallion97 :t11: :sk_arrow_right: :t8: :b20:
:starDO::starDO::starD: :s100::per: :b2: Adam :t11: :sk_arrow_left: :t13: :b1:","",""
"406129972982317068","Sidekick II#9293","01-Feb-21 11:03 AM",":starD::starD::starD: :s100::per: :b21: Goldencode :t8: :sk_arrow_left: :t10: :b6:
:starDO::starDO::starD: :s100::per: :b8: Jamesy Boii :t10: :sk_arrow_left: :t10: :b6:","",""
"406129972982317068","Sidekick II#9293","01-Feb-21 11:33 AM",":sk_star_empty::sk_star_empty::sk_star_empty: :46::per: :b6: Space Jesus :t10: :sk_arrow_left: :t8: :b22:","",""
